Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
Link_1,-0.0281418142029674,0.084195220690108,0.0136945077855137,0,0,0,1.40107341049644,0.0057559217437971,0.000406518233708888,0.00153929909288236,0.0114198233883461,-0.000159377837584594,0.00876258360043916,0,0,0,0,0,0,package://hip_knee_v1/meshes/Link_1.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hip_knee_v1/meshes/Link_1.STL,,Link_1-1,Global_Coordinate_System,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
Link_2,-0.404990833485201,0.00723950792302919,-0.0848264671155734,0,0,0,2.27289407400542,0.00167557501769417,-8.47541360240001E-06,-0.00126944670009916,0.00777922506609577,-2.94088009595002E-06,0.00736726690967362,0,0,0,0,0,0,package://hip_knee_v1/meshes/Link_2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hip_knee_v1/meshes/Link_2.STL,,Link_2^hip_knee_v1-1,Link_2_Coordinate_System,Hip_Axis,hip_revolute_joint,revolute,0.00012638,0.043454,-0.0003763,0,0,0,Link_1,-0.0029081,-0.99996,0.0086592,10,2.5,-2.5,0,,,,,,,,
Link_3,-0.210873385399549,-0.0276710830621445,-0.140982468689507,0,0,0,1.10275445439595,0.00199044634689737,-7.54331572697175E-06,-0.00260077424938593,0.00581565190920448,-4.96554466328964E-06,0.00412555905043524,0,0,0,0,0,0,package://hip_knee_v1/meshes/Link_3.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://hip_knee_v1/meshes/Link_3.STL,,Link_3^hip_knee_v1-1,Coord,Knee_Axis,knee_revolute_joint,revolute,-0.63585,0.033681,-0.13506,0,0,0,Link_2,0.007885,-0.99984,0.015892,250,1.308,0,1.308,,,,,,,,
